PACIENTES ATENDIDOS EM OUTUBRO

UNIDADE I
01/10 - 34
02/10 - 35
05/10 - 38
06/10 - 34
07/10 - 31
08/10 - 35
09/10 - 36
12/10 - 37
13/10 - 34
14/10 - 35
15/10 - 34
16/10 - 34
19/10 - 30
20/10 - 29
21/10 - 34
22/10 - 35
23/10 - 35
26/10 - 35
27/10 - 36
28/10 - 34
29/10 - 35
30/10 - 37

UNIDADE II
01/10 - 21
02/10 - 23
05/10 - 24
06/10 - 25
07/10 - 23
08/10 - 28
09/10 - 23
12/10 - 26
13/10 - 24
14/10 - 25
15/10 - 24
16/10 - 22
19/10 - 26
20/10 - 25
21/10 - 29
22/10 - 30
23/10 - 24
26/10 - 25
27/10 - 26
28/10 - 29
29/10 - 26
30/10 - 26

UNIDADE III
01/10 - 20
02/10 - 19
05/10 - 22
06/10 - 23
07/10 - 23
08/10 - 26
09/10 - 25
12/10 - 24
13/10 - 24
14/10 - 27
15/10 - 28
16/10 - 25
19/10 - 26
20/10 - 25
21/10 - 27
22/10 - 24
23/10 - 25
26/10 - 24
27/10 - 27
28/10 - 24
29/10 - 25
30/10 - 25
